gpu	seed	language	input_model.id	output_model.id	model._target_	model.epochs	model.learning_rate	model.scheduler_factor	model.scheduler_patience	score
0	45	spanish	bert-base-multilingual-uncased	xlm-roberta-base	src.linear_model.LinearModel	1000.0	0.005	0.1	10.0	1.719542384147644
	45	german	xlm-roberta-large	xlm-roberta-large						0.0
	45	finnish	bert-base-multilingual-uncased	xlm-roberta-large						11.776836
	45	russian	xlm-roberta-base	bert-base-multilingual-uncased						22.418764
	45	japanese	xlm-roberta-base	xlm-roberta-large						19.562956
	45	russian	bert-base-multilingual-uncased	bert-base-multilingual-uncased						0.0
	45	chinese	bert-base-multilingual-uncased	bert-base-multilingual-uncased						0.0
	45	spanish	bert-base-multilingual-uncased	xlm-roberta-base						22.741144
	45	french	xlm-roberta-base	xlm-roberta-base						0.0
	45	thai	xlm-roberta-base	bert-base-multilingual-uncased						25.771315
	45	german	xlm-roberta-base	bert-base-multilingual-uncased						22.80562
	45	polish	xlm-roberta-large	bert-base-multilingual-uncased						12.068464
	45	swedish	bert-base-multilingual-uncased	xlm-roberta-large						13.003891
	45	hindi	xlm-roberta-base	xlm-roberta-large						19.318499
	45	arabic	xlm-roberta-large	xlm-roberta-large						0.0
	45	thai	xlm-roberta-large	xlm-roberta-base						19.31964
	45	thai	xlm-roberta-base	xlm-roberta-large						19.319307
	45	icelandic	bert-base-multilingual-uncased	xlm-roberta-large						13.372573
	45	icelandic	bert-base-multilingual-uncased	bert-base-multilingual-uncased						0.0
	45	spanish	xlm-roberta-base	xlm-roberta-base						0.0
	45	korean	xlm-roberta-base	xlm-roberta-large						19.67056
	45	german	bert-base-multilingual-uncased	bert-base-multilingual-uncased						0.0
	45	swedish	bert-base-multilingual-uncased	xlm-roberta-base						23.091978
	45	indonesian	bert-base-multilingual-uncased	xlm-roberta-base						22.557135
	45	arabic	bert-base-multilingual-uncased	bert-base-multilingual-uncased						0.0
	45	french	xlm-roberta-large	xlm-roberta-base						19.95977
	45	japanese	bert-base-multilingual-uncased	xlm-roberta-large						13.8252945
	45	indonesian	xlm-roberta-large	xlm-roberta-large						0.0
	45	swedish	xlm-roberta-base	xlm-roberta-base						0.0
	45	italian	xlm-roberta-base	xlm-roberta-large						19.97433
	45	czech	bert-base-multilingual-uncased	bert-base-multilingual-uncased						0.0
	45	english	xlm-roberta-base	bert-base-multilingual-uncased						22.959686
	45	russian	xlm-roberta-large	xlm-roberta-base						19.71063
	45	japanese	bert-base-multilingual-uncased	xlm-roberta-base						23.49537
	45	thai	bert-base-multilingual-uncased	xlm-roberta-base						25.771315
	45	english	bert-base-multilingual-uncased	xlm-roberta-base						22.959686
	45	polish	xlm-roberta-base	xlm-roberta-large						19.729193
	45	thai	bert-base-multilingual-uncased	bert-base-multilingual-uncased						0.0
	45	italian	bert-base-multilingual-uncased	xlm-roberta-base						22.726376
	45	swedish	xlm-roberta-large	xlm-roberta-large						0.0
	45	finnish	bert-base-multilingual-uncased	bert-base-multilingual-uncased						0.0
	45	turkish	xlm-roberta-base	xlm-roberta-base						0.0
	45	chinese	xlm-roberta-base	bert-base-multilingual-uncased						25.772758
	45	turkish	xlm-roberta-large	xlm-roberta-large						0.0
	45	indonesian	xlm-roberta-base	xlm-roberta-base						0.0
	45	chinese	xlm-roberta-base	xlm-roberta-base						0.0
	45	japanese	xlm-roberta-large	xlm-roberta-base						19.564848
	45	korean	bert-base-multilingual-uncased	bert-base-multilingual-uncased						0.0
	45	turkish	bert-base-multilingual-uncased	xlm-roberta-base						22.187666
	45	english	xlm-roberta-base	xlm-roberta-base						0.0
	45	chinese	bert-base-multilingual-uncased	xlm-roberta-large						15.945579
	45	russian	xlm-roberta-large	bert-base-multilingual-uncased						12.129958
	45	arabic	bert-base-multilingual-uncased	xlm-roberta-base						21.879358
	45	icelandic	xlm-roberta-large	bert-base-multilingual-uncased						13.364277
	45	arabic	xlm-roberta-base	xlm-roberta-large						19.264322
	45	swedish	xlm-roberta-large	bert-base-multilingual-uncased						13.00645
	45	indonesian	xlm-roberta-large	xlm-roberta-base						19.848701
	45	portuguese	bert-base-multilingual-uncased	xlm-roberta-base						22.810728
	45	czech	xlm-roberta-large	xlm-roberta-large						0.0
	45	spanish	bert-base-multilingual-uncased	bert-base-multilingual-uncased						0.0
	45	icelandic	xlm-roberta-base	bert-base-multilingual-uncased						23.05976
	45	italian	xlm-roberta-large	xlm-roberta-base						19.97181
	45	japanese	xlm-roberta-base	xlm-roberta-base						0.0
	45	french	bert-base-multilingual-uncased	bert-base-multilingual-uncased						0.0
	45	turkish	xlm-roberta-large	xlm-roberta-base						19.78836
	45	portuguese	xlm-roberta-large	bert-base-multilingual-uncased						13.094324
	45	swedish	xlm-roberta-base	bert-base-multilingual-uncased						23.091978
	45	japanese	bert-base-multilingual-uncased	bert-base-multilingual-uncased						0.0
	45	korean	xlm-roberta-large	bert-base-multilingual-uncased						13.527751
	45	english	xlm-roberta-large	bert-base-multilingual-uncased						13.223882
	45	portuguese	xlm-roberta-base	xlm-roberta-large						19.786346
	45	spanish	xlm-roberta-large	bert-base-multilingual-uncased						12.754164
	45	chinese	xlm-roberta-large	xlm-roberta-large						0.0
	45	english	xlm-roberta-base	xlm-roberta-large						19.860165
